Bus,X,Y
mv_f0_n253,4737.598329,5487.813584
mv_f0_n254,2335.252265,5353.685871
mv_f0_n255,5295.324633,2217.774346
mv_f0_n256,5389.087265,2231.649397
mv_f0_n257,8024.734408,3185.788681
mv_f0_n258,8325.481821,3011.787994
mv_f0_n259,2200.183213,5556.489111
mv_f0_n260,1975.351881,5667.526254
mv_f0_n261,8005.563224,3212.48015
mv_f0_n262,2640.860952,5421.656313
mv_f0_n263,2323.718991,5561.270734
mv_f0_n264,7704.123816,3451.530378
mv_f0_n265,2766.314137,5406.02254
mv_f0_n266,4026.711845,5548.523768
mv_f0_n267,3333.656055,4841.82351
mv_f0_n268,1402.523009,5907.287389
mv_f0_n269,1871.366696,5977.788093
mv_f0_n270,3299.543514,4827.599187
mv_f0_n271,8553.076561,3264.56182
mv_f0_n272,2524.051956,5443.454888
mv_f0_n273,3277.480362,4761.902101
mv_f0_n274,2896.366215,5398.446743
mv_f0_n275,8272.916042,2635.555884
mv_f0_n276,3782.418618,5804.136679
mv_f0_n277,1312.444068,6782.493165
mv_f0_n278,8205.726073,2734.713511
mv_f0_n279,7058.61853,1723.604381
mv_f0_n280,3022.015466,4615.705608
mv_f0_n281,3207.900121,5858.383524
mv_f0_n282,3253.713168,4704.377356
mv_f0_n283,3587.468809,5191.690241
mv_f0_n284,5815.368595,3511.608207
mv_f0_n285,3684.279109,5816.472462
mv_f0_n286,3170.84948,4602.363737
mv_f0_n287,3907.799721,4454.187523
mv_f0_n288,3484.101844,5266.126847
mv_f0_n289,3329.135011,5847.716827
mv_f0_n290,3566.334085,5826.8532510000005
mv_f0_n291,3127.299838,5837.240221
mv_f0_n292,3853.08587,5812.262656
mv_f0_n293,3996.793855,4317.515133
mv_f0_n294,7604.225482,2071.098764
mv_f0_n295,3428.615264,5838.966489
mv_f0_n296,4737.598329,5485.948491
mv_f0_n297,7608.184278,2068.865588
mv_f0_n298,5471.711637,3641.337929
mv_f0_n299,1680.491016,6259.239292
mv_f0_n300,409.806817,5792.471621
mv_f0_n301,4323.654971,5041.455487
mv_f0_n302,1805.970151,6246.867964
mv_f0_n303,8165.325015,1829.391907
mv_f0_n304,4453.061185,5328.070035
mv_f0_n305,5552.551236,2739.586315
mv_f0_n306,3457.621447,5420.219045
mv_f0_n307,574.081001,6872.761363
mv_f0_n308,4425.268879,5247.774627
mv_f0_n309,3235.239747,5717.166472
mv_f0_n310,1360.990501,5502.304084
mv_f0_n311,5599.564255,4128.147641
mv_f0_n312,4344.380264,5126.503154
mv_f0_n313,6309.641457,3200.34373
mv_f0_n314,3415.599964,5466.768003
mv_f0_n315,1341.603067,5546.136141
mv_f0_n316,674.7511489999999,6621.523151
mv_f0_n317,3734.221068,5135.533219
mv_f0_n318,4401.083604,5174.107655
mv_f0_n319,573.371705,6870.464824
mv_f0_n320,3287.168311,5644.717315
mv_f0_n321,5896.286043,3556.438625
mv_f0_n322,1241.802767,5675.460954
mv_f0_n323,3359.565554,5543.700511
mv_f0_n324,1292.952836,5585.152575
mv_f0_n325,6690.80462,2778.755749
mv_f0_n326,3176.408517,5789.821174
mv_f0_n327,6199.044058,2610.457083
mv_f0_n328,3498.446353,5389.277587
mv_f0_n329,6524.359297,2801.452229
mv_f0_n330,3342.259877,5569.464711
mv_f0_n331,4358.947978,4848.923214
mv_f0_n332,1243.815323,5625.536733
mv_f0_n333,3433.20839,5355.069049
mv_f0_n334,4402.075466,5752.537189
mv_f0_n335,626.442064,5574.331333
mv_f0_n336,6301.178917,2697.863797
mv_f0_n337,819.584032,5716.928473
mv_f0_n338,4451.70891,1787.424341
mv_f0_n339,1582.368806,6286.689577
mv_f0_n340,698.969056,5594.624639
mv_f0_n341,6194.193387,3204.062083
mv_f0_n342,3778.921153,5487.812398
mv_f0_n343,806.707132,5675.434682
mv_f0_n344,5815.524294,3512.187751
mv_f0_n345,3572.452487,5454.169494
mv_f0_n346,768.762662,5632.947166
mv_f0_n347,3127.334438,5837.206221
mv_f0_n348,6089.909526,3220.936853
mv_f0_n349,3685.616969,5506.141437
mv_f0_n350,5835.295208,3454.389461
mv_f0_n351,3359.937502,5331.851751
mv_f0_n352,3605.379983,5503.523444
mv_f0_n353,6930.587148,1101.97016
mv_f0_n354,4450.70891,1787.757562
mv_f0_n355,4997.815187,2440.532439
mv_f0_n356,6004.422017,3254.548848
mv_f0_n357,3176.43735,5789.785629
mv_f0_n358,7153.33503,715.720442
mv_f0_n359,4358.947978,4850.788307
mv_f0_n360,5884.245305,3340.645876
mv_f0_n361,1385.611156,6735.893207
mv_f0_n362,7033.833014,1046.324682
mv_f0_n363,2323.742058,5561.233643
mv_f0_n364,4026.711845,5550.38886
mv_f0_n365,7168.455151,769.203835
mv_f0_n366,1790.771927,5305.757239
mv_f0_n367,7183.56374,822.694955
mv_f0_n368,1530.555574,6671.001301
mv_f0_n369,7226.349302,922.371853
mv_f0_n370,1601.776423,5650.746116
mv_f0_n371,1599.475534,6635.901037
mv_f0_n372,7446.851079,1701.984997
mv_f0_n373,7060.61853,1723.604381
mv_f0_n374,2156.598972,5006.648859
mv_f0_n375,2182.701654,5280.972441
mv_f0_n376,3997.793855,4317.177865
mv_f0_n377,1459.337609,6701.987577
mv_f0_n378,4821.412014,2291.959899
mv_f0_n379,6031.703976,3615.668002
mv_f0_n380,6921.634443,3388.818743
mv_f0_n381,1525.411482,6643.909974
mv_f0_n382,6027.742298,328.132363
mv_f0_n383,8126.348317,1836.843974
mv_f0_n384,4750.2477,1735.783991
mv_f0_n385,6232.107622,270.8035240000003
mv_f0_n386,7756.507945,2138.896116
mv_f0_n387,573.726353,6871.605366
mv_f0_n388,7761.793068,2137.692211
mv_f0_n389,5644.700652,1496.049542
mv_f0_n390,7370.757422,3370.522518
mv_f0_n391,4822.745347,2291.959899
mv_f0_n392,3907.990019,5854.1969
mv_f0_n393,1043.364142,6464.697616
mv_f0_n394,794.199297,6487.347733
mv_f0_n395,7794.293833,3439.950227
mv_f0_n396,7581.689465,3413.28976
mv_f0_n397,914.903656,6476.375037
mv_f0_n398,6853.895821000001,694.9229300000002
mv_f0_n399,3695.039401,5650.868885
mv_f0_n400,4065.975686,4510.814362
mv_f0_n401,646.032259,6346.048082
mv_f0_n402,646.032259,6346.064945
mv_f0_n403,2771.814997,4717.101902
mv_f0_n404,2769.814997,4717.118766
mv_f0_n405,805.482911,5848.028142
mv_f0_n406,8045.044503,3160.213026
mv_f0_n407,5129.455973,4393.043334
mv_f0_n408,2293.617147,4326.075888
mv_f0_n409,7938.909552,1229.820614
mv_f0_n410,6076.784661,467.760693
mv_f0_n411,2769.814997,4717.101902
mv_f0_n412,7058.185521,1520.729967
mv_f0_n413,7834.409442,2272.824826
mv_f0_n414,7775.327365,1293.061979
mv_f0_n415,7609.591338,1968.004876
mv_f0_n416,8098.256145,3112.242254
mv_f0_n417,5275.70365,4358.531886
mv_f0_n418,7101.997545,1475.034098
mv_f0_n419,7761.040522,2145.538461
mv_f0_n420,7658.290586,1302.772043
mv_f0_n421,7592.080945,2064.422419
mv_f0_n422,639.510453,5537.690162
mv_f0_n423,7189.238111,1466.827757
mv_f0_n424,7695.932308,2102.74031
mv_f0_n425,7526.286502,1313.733921
mv_f0_n426,7834.201843,2272.090737
mv_f0_n427,7284.990232,1458.879507
mv_f0_n428,7612.967704,1970.514687
mv_f0_n429,551.67185,5782.525104
mv_f0_n430,7306.698737,1414.758451
mv_f0_n431,7766.515943,2144.614282
mv_f0_n432,7408.165596,1323.539802
mv_f0_n433,7596.258873,2062.314425
mv_f0_n434,706.047602,5768.605234
mv_f0_n435,7330.699479,1329.988965
mv_f0_n436,7710.377733,2103.90558
mv_f0_n437,645.032259,6345.714861
mv_f0_n438,7941.39209,1228.066528
mv_f0_n439,576.811504,6857.824587
mv_f0_n440,2770.814997,4716.768681
mv_f0_n441,7831.849056,1225.051355
mv_f0_n442,7111.218397,1226.208897
mv_f0_n443,683.482752,6650.32936
mv_f0_n444,7752.180084,1173.003685
mv_f0_n445,6930.950446,1101.013526
mv_f0_n446,7807.829572,1298.031015
mv_f0_n447,7237.830676,1215.6952
mv_f0_n448,7638.216923,1182.458749
mv_f0_n449,7350.389661,1206.351408
mv_f0_n450,6066.413674,3458.206364
mv_f0_n451,7515.647057,1192.632447
mv_f0_n452,4937.155934,2386.909955
mv_f0_n453,2110.883958,5051.567367
mv_f0_n454,2124.821919,5176.727193
mv_f0_n455,5234.924878,2876.669288
mv_f0_n456,2352.119678,5515.395592
mv_f0_n457,1228.222337,6015.138532
mv_f0_n458,7156.310614,3352.309388
mv_f0_n459,1101.713857,5736.047236
mv_f0_n460,7296.791654,3362.314632
mv_f0_n461,7476.382026,3388.03865
mv_f0_n462,6616.217807,1078.558042
mv_f0_n463,1013.723629,5776.64003
mv_f0_n464,2381.076845,4373.595295
mv_f0_n465,1312.461368,6782.456075
mv_f0_n466,1948.513953,6262.197962
mv_f0_n467,5102.580562,3687.184893
mv_f0_n468,822.977698,5758.412991
mv_f0_n469,823.101681,5759.975441
mv_f0_n470,4308.43105,6012.494267
mv_f0_n471,4319.474159,6008.265916
mv_f0_n472,7258.515602,2820.144449
mv_f0_n473,962.749442,5747.928657
mv_f0_n474,7261.125005,2814.834282
mv_f0_n475,1013.772645,5776.667848
mv_f0_n476,1228.150254,6015.133896
mv_f0_n477,1023.033864,5805.99431
mv_f0_n478,1402.523009,5905.422297
mv_f0_n479,5599.564255,4128.137522
mv_f0_n480,5573.100647,4213.137482
mv_f0_n481,6067.08034,3456.674492
mv_f0_n482,5600.230921,4128.137522
mv_f0_n483,5565.694843,4238.570861
mv_f0_n484,5571.806037,4212.302939
mv_f0_n485,4829.44669,4420.079438
mv_f0_n486,5596.766924,4169.296153
mv_f0_n487,1101.641774,5736.054964
mv_f0_n488,1975.351881,5665.661161
mv_f0_n489,7802.283508,2273.050461
mv_f0_n490,7807.15055,2270.081652
mv_f0_n491,7048.921419,391.968727
mv_f0_n492,1790.771927,5303.892146
mv_f0_n493,5968.980578,2079.127284
mv_f0_n494,1221.475372,5722.648184
mv_f0_n495,5705.551645,3567.810047
mv_f0_n496,2288.525207,4325.981615
mv_f0_n497,4595.090569,1603.134914
mv_f0_n498,2353.474967,4620.84698
mv_f0_n499,822.974815,5758.374354
mv_f0_n500,5672.038835,3626.44288
