Bus,X,Y
mv_f0_n527,4715.509802,6307.316282
mv_f0_n528,3505.435391,415.288376
mv_f0_n529,2821.951127,6084.106405
mv_f0_n530,3483.474696,5712.234028
mv_f0_n531,1860.915851,2089.310551
mv_f0_n532,4699.090069,2804.845209
mv_f0_n533,4684.663686,2877.74687
mv_f0_n534,4085.753327,1922.708911
mv_f0_n535,3514.533259,3866.088833
mv_f0_n536,2916.86423,4833.27765
mv_f0_n537,3233.396129,844.264809
mv_f0_n538,2464.431642,2267.32145
mv_f0_n539,2847.617686,2036.251071
mv_f0_n540,2832.012509,6132.935281
mv_f0_n541,3556.681863,5700.266827
mv_f0_n542,4503.000711,4872.041167
mv_f0_n543,3230.532702,576.072905
mv_f0_n544,3435.626045,442.320012
mv_f0_n545,7674.812734,3973.128656
mv_f0_n546,2249.398392,3792.234461
mv_f0_n547,2085.203003,6863.066323
mv_f0_n548,3562.211773,3865.955219
mv_f0_n549,3667.1388,6373.648316
mv_f0_n550,3404.244445,4996.609737
mv_f0_n551,3916.317934,3259.091535
mv_f0_n552,2802.350415,1950.658834
mv_f0_n553,2847.830576,6209.695779
mv_f0_n554,3917.516422,3289.6133
mv_f0_n555,3257.771011,696.334112
mv_f0_n556,4704.083375,2849.695087
mv_f0_n557,6059.077066,2896.391489
mv_f0_n558,4242.275831,6549.268762
mv_f0_n559,3067.168548,4990.028028
mv_f0_n560,3549.122814,4998.958244
mv_f0_n561,4402.734327,4890.841586
mv_f0_n562,2614.187299,4162.407278
mv_f0_n563,2646.951265,6508.738313
mv_f0_n564,6456.405486,2858.170127
mv_f0_n565,3231.740229,581.667165
mv_f0_n566,3206.695572,1812.988727
mv_f0_n567,5046.899415,3069.229704
mv_f0_n568,4964.935551,4357.577024
mv_f0_n569,4828.088949,3071.700163
mv_f0_n570,6586.759,3848.781803
mv_f0_n571,1967.306058,4729.324047
mv_f0_n572,4957.359292,3010.174646
mv_f0_n573,5270.373855,3249.473811
mv_f0_n574,2670.418794,6473.802934
mv_f0_n575,4942.641521,2946.22546
mv_f0_n576,3255.915171,687.997787
mv_f0_n577,3122.0066,5705.179741
mv_f0_n578,2399.091003,2373.070173
mv_f0_n579,3097.876431,5735.089323
mv_f0_n580,6480.800404,3806.027708
